Rain (mm),ET(mm),Runoff (mm/day),Date
0,5,0, 1/01/1968
1.25,5,0, 2/01/1968
0.75,5,0, 3/01/1968
0,5,0, 4/01/1968
0,5,0, 5/01/1968
0,5,0, 6/01/1968
0,5,0, 7/01/1968
0,5,0, 8/01/1968
4.73125,5,0, 9/01/1968
2.83875,5,0,10/01/1968
0,5,0,11/01/1968
0,5,0,12/01/1968
0,5,0,13/01/1968
0,5,0,14/01/1968
0,5,0,15/01/1968
0,5,0,16/01/1968
0,5,0,17/01/1968
0,5,0,18/01/1968
1,5,0,19/01/1968
7.44375,5,0,20/01/1968
4.10625,5,0,21/01/1968
0,5,0,22/01/1968
0,5,0,23/01/1968
3.4625,5,0,24/01/1968
2.0775,5,0,25/01/1968
0,5,0,26/01/1968
0,5,0,27/01/1968
0,5,0,28/01/1968
0,5,0,29/01/1968
0,5,0,30/01/1968
0,5,0,31/01/1968
0.625,4.24137931,0, 1/02/1968
0.375,4.24137931,0, 2/02/1968
0,4.24137931,0, 3/02/1968
0,4.24137931,0, 4/02/1968
0,4.24137931,0, 5/02/1968
0,4.24137931,0, 6/02/1968
2.35,4.24137931,0, 7/02/1968
2.035,4.24137931,0, 8/02/1968
0.375,4.24137931,0, 9/02/1968
0,4.24137931,0,10/02/1968
0,4.24137931,0,11/02/1968
0,4.24137931,0,12/02/1968
0.25,4.24137931,0,13/02/1968
0.15,4.24137931,0,14/02/1968
0,4.24137931,0,15/02/1968
0,4.24137931,0,16/02/1968
0,4.24137931,0,17/02/1968
0,4.24137931,0,18/02/1968
0,4.24137931,0,19/02/1968
0,4.24137931,0,20/02/1968
0,4.24137931,0,21/02/1968
0,4.24137931,0,22/02/1968
0,4.24137931,0,23/02/1968
0,4.24137931,0,24/02/1968
0,4.24137931,0,25/02/1968
3.04375,4.24137931,0,26/02/1968
1.82625,4.24137931,0,27/02/1968
0,4.24137931,0,28/02/1968
0,4.24137931,0,29/02/1968
0,3.290322581,0, 1/03/1968
0,3.290322581,0, 2/03/1968
0,3.290322581,0, 3/03/1968
1.24375,3.290322581,0, 4/03/1968
0.74625,3.290322581,0, 5/03/1968
0,3.290322581,0, 6/03/1968
0.23125,3.290322581,0, 7/03/1968
0.13875,3.290322581,0, 8/03/1968
0,3.290322581,0, 9/03/1968
0,3.290322581,0,10/03/1968
0,3.290322581,0,11/03/1968
0,3.290322581,0,12/03/1968
0,3.290322581,0,13/03/1968
0,3.290322581,0,14/03/1968
0,3.290322581,0,15/03/1968
0,3.290322581,0,16/03/1968
0,3.290322581,0,17/03/1968
0,3.290322581,0,18/03/1968
0,3.290322581,0,19/03/1968
0,3.290322581,0,20/03/1968
0,3.290322581,0,21/03/1968
6.4875,3.290322581,0,22/03/1968
4.23625,3.290322581,0,23/03/1968
1.31875,3.290322581,0,24/03/1968
0.92375,3.290322581,0,25/03/1968
0.15375,3.290322581,0,26/03/1968
0,3.290322581,0,27/03/1968
0,3.290322581,0,28/03/1968
0,3.290322581,0,29/03/1968
12.7875,3.290322581,0,30/03/1968
16.2725,3.290322581,0,31/03/1968
5.16,2.2,0, 1/04/1968
0,2.2,0, 2/04/1968
0,2.2,0, 3/04/1968
0,2.2,0, 4/04/1968
0,2.2,0, 5/04/1968
0,2.2,0, 6/04/1968
0.99375,2.2,0, 7/04/1968
1.4775,2.2,0, 8/04/1968
0.52875,2.2,0, 9/04/1968
0,2.2,0,10/04/1968
0,2.2,0,11/04/1968
0.625,2.2,0,12/04/1968
1.6,2.2,0,13/04/1968
2.7975,2.2,0,14/04/1968
3.275,2.2,0,15/04/1968
1.4725,2.2,0,16/04/1968
0.15,2.2,0,17/04/1968
0,2.2,0,18/04/1968
4.35,2.2,0,19/04/1968
2.97875,2.2,0,20/04/1968
10.0525,2.2,0,21/04/1968
8.1675,2.2,0,22/04/1968
1.98625,2.2,0,23/04/1968
0.375,2.2,0,24/04/1968
2.84375,2.2,0,25/04/1968
3.325,2.2,0,26/04/1968
0.97125,2.2,0,27/04/1968
17.63125,2.2,0,28/04/1968
20.86,2.2,0,29/04/1968
6.51875,2.2,0,30/04/1968
0.21,1.258064516,0, 1/05/1968
16.9,1.258064516,0, 2/05/1968
19.165,1.258064516,0, 3/05/1968
9.07125,1.258064516,0.173, 4/05/1968
5.9375,1.258064516,0.288, 5/05/1968
2.24625,1.258064516,0.212, 6/05/1968
0,1.258064516,0.115, 7/05/1968
0,1.258064516,0.058, 8/05/1968
1.95,1.258064516,0.038, 9/05/1968
5.62625,1.258064516,0.019,10/05/1968
3.16125,1.258064516,0.019,11/05/1968
4.08,1.258064516,0.019,12/05/1968
6.535,1.258064516,0.019,13/05/1968
2.65125,1.258064516,0.019,14/05/1968
0.68125,1.258064516,0.019,15/05/1968
1.36875,1.258064516,0.019,16/05/1968
4.765,1.258064516,0.019,17/05/1968
12.13875,1.258064516,0.038,18/05/1968
25.60125,1.258064516,1.5,19/05/1968
12.4725,1.258064516,3.288,20/05/1968
4.11125,1.258064516,0.981,21/05/1968
3.13875,1.258064516,0.731,22/05/1968
9.2225,1.258064516,0.596,23/05/1968
16.2475,1.258064516,1.654,24/05/1968
13.325,1.258064516,5.5,25/05/1968
10.38,1.258064516,5.692,26/05/1968
19.445,1.258064516,4.288,27/05/1968
28.3475,1.258064516,13.173,28/05/1968
20.93125,1.258064516,22.019,29/05/1968
7.4425,1.258064516,12.885,30/05/1968
1.0275,1.258064516,17.596,31/05/1968
1.85,1.033333333,3.096, 1/06/1968
18.22875,1.033333333,2.173, 2/06/1968
12.93375,1.033333333,10.962, 3/06/1968
19.3475,1.033333333,7.577, 4/06/1968
23.675,1.033333333,18.769, 5/06/1968
11.28375,1.033333333,19.808, 6/06/1968
2.08125,1.033333333,7.904, 7/06/1968
0,1.033333333,4.712, 8/06/1968
0,1.033333333,2.442, 9/06/1968
0,1.033333333,1.462,10/06/1968
0,1.033333333,1.038,11/06/1968
0,1.033333333,0.788,12/06/1968
0,1.033333333,0.615,13/06/1968
0.625,1.033333333,0.481,14/06/1968
0.95,1.033333333,0.423,15/06/1968
2.445,1.033333333,0.365,16/06/1968
1.26,1.033333333,0.365,17/06/1968
0,1.033333333,0.327,18/06/1968
0,1.033333333,0.269,19/06/1968
2.2375,1.033333333,0.231,20/06/1968
2.43625,1.033333333,0.192,21/06/1968
3.70625,1.033333333,0.269,22/06/1968
14.58,1.033333333,0.327,23/06/1968
12.975,1.033333333,6.769,24/06/1968
17.22,1.033333333,5.731,25/06/1968
12.23375,1.033333333,12.519,26/06/1968
8.86,1.033333333,10.769,27/06/1968
14.3475,1.033333333,5.135,28/06/1968
13.78125,1.033333333,12.558,29/06/1968
5.65375,1.033333333,12.558,30/06/1968
0.67875,1.096774194,7.25, 1/07/1968
3.5875,1.096774194,3.25, 2/07/1968
2.1525,1.096774194,2.308, 3/07/1968
0.36875,1.096774194,1.923, 4/07/1968
1.47125,1.096774194,1.404, 5/07/1968
1.7,1.096774194,1.077, 6/07/1968
1.3325,1.096774194,0.981, 7/07/1968
4.4325,1.096774194,0.865, 8/07/1968
2.635,1.096774194,0.942, 9/07/1968
0.15,1.096774194,1.327,10/07/1968
8.23125,1.096774194,1.135,11/07/1968
10.75125,1.096774194,4.385,12/07/1968
4.2,1.096774194,5.596,13/07/1968
0.94,1.096774194,2.962,14/07/1968
0.3075,1.096774194,1.885,15/07/1968
0,1.096774194,1.173,16/07/1968
1.96875,1.096774194,0.904,17/07/1968
2.29375,1.096774194,0.827,18/07/1968
2.5425,1.096774194,0.75,19/07/1968
1.375,1.096774194,0.865,20/07/1968
10.00625,1.096774194,0.923,21/07/1968
5.91375,1.096774194,4.942,22/07/1968
0,1.096774194,2.673,23/07/1968
0,1.096774194,1.462,24/07/1968
0,1.096774194,1.038,25/07/1968
0.25,1.096774194,0.769,26/07/1968
0.6375,1.096774194,0.635,27/07/1968
1.42375,1.096774194,0.519,28/07/1968
0.67875,1.096774194,0.462,29/07/1968
3.49375,1.096774194,0.385,30/07/1968
8.57125,1.096774194,0.404,31/07/1968
7.57875,1.419354839,1.231, 1/08/1968
2.21625,1.419354839,1.788, 2/08/1968
4.36875,1.419354839,1.327, 3/08/1968
5.9275,1.419354839,2.596, 4/08/1968
1.98375,1.419354839,1.923, 5/08/1968
0.70625,1.419354839,1.077, 6/08/1968
3.04875,1.419354839,0.769, 7/08/1968
8.96875,1.419354839,0.769, 8/08/1968
12.9675,1.419354839,1.923, 9/08/1968
6.20625,1.419354839,6.538,10/08/1968
1.165,1.419354839,4.885,11/08/1968
0.3075,1.419354839,2.25,12/08/1968
0,1.419354839,1.327,13/08/1968
2.5875,1.419354839,0.923,14/08/1968
1.5525,1.419354839,0.846,15/08/1968
0,1.419354839,0.712,16/08/1968
0,1.419354839,0.596,17/08/1968
1,1.419354839,0.481,18/08/1968
0.6,1.419354839,0.442,19/08/1968
8.49375,1.419354839,0.404,20/08/1968
15.22125,1.419354839,0.904,21/08/1968
9.03125,1.419354839,4.038,22/08/1968
2.655,1.419354839,5.654,23/08/1968
2.96,1.419354839,2.5,24/08/1968
4.8775,1.419354839,2.731,25/08/1968
5.50125,1.419354839,3.096,26/08/1968
8.26375,1.419354839,2.25,27/08/1968
11.76,1.419354839,4,28/08/1968
6.40125,1.419354839,8.615,29/08/1968
0.945,1.419354839,6.019,30/08/1968
0.09375,1.419354839,2.538,31/08/1968
3.2875,2.3,1.558, 1/09/1968
1.93875,2.3,1.231, 2/09/1968
0,2.3,0.942, 3/09/1968
0,2.3,0.712, 4/09/1968
0.09375,2.3,0.558, 5/09/1968
0.05625,2.3,0.462, 6/09/1968
2.8,2.3,0.404, 7/09/1968
4.48,2.3,0.462, 8/09/1968
1.88625,2.3,0.692, 9/09/1968
0.12375,2.3,0.538,10/09/1968
0,2.3,0.442,11/09/1968
3.1,2.3,0.346,12/09/1968
1.86,2.3,0.365,13/09/1968
0,2.3,0.327,14/09/1968
0,2.3,0.25,15/09/1968
0,2.3,0.192,16/09/1968
0,2.3,0.154,17/09/1968
0,2.3,0.154,18/09/1968
2.13125,2.3,0.135,19/09/1968
8.84125,2.3,0.135,20/09/1968
4.5375,2.3,0.462,21/09/1968
0,2.3,0.769,22/09/1968
2.85,2.3,0.5,23/09/1968
11.2725,2.3,0.365,24/09/1968
8.46875,2.3,2.019,25/09/1968
2.0075,2.3,2.115,26/09/1968
0.22125,2.3,1.327,27/09/1968
0,2.3,0.904,28/09/1968
7.4375,2.3,0.75,29/09/1968
7.91875,2.3,1.558,30/09/1968
5.79875,3.741935484,1.558, 1/10/1968
13.45375,3.741935484,1.75, 2/10/1968
21.16875,3.741935484,13.077, 3/10/1968
8.6625,3.741935484,12.096, 4/10/1968
0,3.741935484,3.096, 5/10/1968
14.30625,3.741935484,2.019, 6/10/1968
18.85875,3.741935484,12.038, 7/10/1968
8.54625,3.741935484,10.923, 8/10/1968
1.80375,3.741935484,4.885, 9/10/1968
0.4625,3.741935484,2.538,10/10/1968
1.755,3.741935484,1.558,11/10/1968
2.7925,3.741935484,1.077,12/10/1968
3.8075,3.741935484,0.942,13/10/1968
1.8775,3.741935484,0.904,14/10/1968
0.15,3.741935484,0.75,15/10/1968
0,3.741935484,0.577,16/10/1968
0.70625,3.741935484,0.442,17/10/1968
1.6925,3.741935484,0.327,18/10/1968
0.76125,3.741935484,0.327,19/10/1968
0.11875,3.741935484,0.288,20/10/1968
1.065,3.741935484,0.212,21/10/1968
2.69625,3.741935484,0.173,22/10/1968
1.26,3.741935484,0.173,23/10/1968
12.6375,3.741935484,0.173,24/10/1968
14.6075,3.741935484,0.75,25/10/1968
6.89625,3.741935484,1.231,26/10/1968
3.14,3.741935484,1.5,27/10/1968
2.5125,3.741935484,0.981,28/10/1968
0.95625,3.741935484,0.577,29/10/1968
0,3.741935484,0.442,30/10/1968
3.71875,3.741935484,0.288,31/10/1968
7.1875,4.733333333,0.212, 1/11/1968
2.97375,4.733333333,0.269, 2/11/1968
0,4.733333333,0.423, 3/11/1968
0,4.733333333,0.231, 4/11/1968
4.1875,4.733333333,0.154, 5/11/1968
4.09375,4.733333333,0.115, 6/11/1968
0.94875,4.733333333,0.135, 7/11/1968
0,4.733333333,0.096, 8/11/1968
0,4.733333333,0.077, 9/11/1968
5.325,4.733333333,0.058,10/11/1968
14.10125,4.733333333,0.058,11/11/1968
11.90625,4.733333333,0.654,12/11/1968
14.305,4.733333333,2.019,13/11/1968
9.765,4.733333333,6.731,14/11/1968
3.21125,4.733333333,4.654,15/11/1968
1.9125,4.733333333,1.654,16/11/1968
0.92,4.733333333,0.981,17/11/1968
4.50375,4.733333333,0.654,18/11/1968
2.61,4.733333333,0.558,19/11/1968
1.61875,4.733333333,0.481,20/11/1968
1.09,4.733333333,0.327,21/11/1968
14.70875,4.733333333,0.231,22/11/1968
12.5575,4.733333333,2.673,23/11/1968
9.9025,4.733333333,3.192,24/11/1968
9.42,4.733333333,5.038,25/11/1968
2.9025,4.733333333,5.308,26/11/1968
0.7625,4.733333333,2.25,27/11/1968
0.57625,4.733333333,1.038,28/11/1968
0.415,4.733333333,0.635,29/11/1968
0.20625,4.733333333,0.423,30/11/1968
0,4.580645161,0.308, 1/12/1968
0.25625,4.580645161,0.231, 2/12/1968
0.15375,4.580645161,0.173, 3/12/1968
0,4.580645161,0.135, 4/12/1968
0,4.580645161,0.115, 5/12/1968
0,4.580645161,0.096, 6/12/1968
0,4.580645161,0.077, 7/12/1968
0,4.580645161,0.077, 8/12/1968
0,4.580645161,0.058, 9/12/1968
0,4.580645161,0.038,10/12/1968
0,4.580645161,0.038,11/12/1968
0,4.580645161,0.038,12/12/1968
0,4.580645161,0.038,13/12/1968
0.5875,4.580645161,0.038,14/12/1968
6.92125,4.580645161,0.038,15/12/1968
7.81625,4.580645161,0.058,16/12/1968
2.325,4.580645161,0.115,17/12/1968
0,4.580645161,0.077,18/12/1968
0.31875,4.580645161,0.038,19/12/1968
0.19125,4.580645161,0.038,20/12/1968
0,4.580645161,0.038,21/12/1968
0,4.580645161,0.019,22/12/1968
12.58125,4.580645161,0.019,23/12/1968
7.6675,4.580645161,0.038,24/12/1968
5.1525,4.580645161,0.038,25/12/1968
7.0425,4.580645161,0.058,26/12/1968
2.39625,4.580645161,0.058,27/12/1968
0,4.580645161,0.077,28/12/1968
0,4.580645161,0.058,29/12/1968
1.60625,4.580645161,0.038,30/12/1968
0.96375,4.580645161,0.038,31/12/1968
0,5,0.038, 1/01/1969
0.625,5,0.038, 2/01/1969
0.63125,5,0.038, 3/01/1969
1.86625,5,0.038, 4/01/1969
1.0275,5,0.019, 5/01/1969
0,5,0.019, 6/01/1969
0,5,0.019, 7/01/1969
0,5,0.019, 8/01/1969
0,5,0.019, 9/01/1969
0,5,0,10/01/1969
0.625,5,0,11/01/1969
0.375,5,0,12/01/1969
0.50625,5,0,13/01/1969
6.41,5,0,14/01/1969
3.66375,5,0,15/01/1969
0,5,0,16/01/1969
1.875,5,0,17/01/1969
1.125,5,0,18/01/1969
0,5,0,19/01/1969
0,5,0,20/01/1969
0,5,0,21/01/1969
0,5,0,22/01/1969
0,5,0,23/01/1969
0.25,5,0,24/01/1969
8.9,5,0,25/01/1969
5.25,5,0,26/01/1969
6.81875,5,0,27/01/1969
4.09125,5,0,28/01/1969
0,5,0,29/01/1969
0,5,0,30/01/1969
0,5,0,31/01/1969
0,4.392857143,0, 1/02/1969
0,4.392857143,0, 2/02/1969
8.85625,4.392857143,0, 3/02/1969
5.31375,4.392857143,0.019, 4/02/1969
0,4.392857143,0.038, 5/02/1969
0,4.392857143,0.019, 6/02/1969
0,4.392857143,0, 7/02/1969
0,4.392857143,0, 8/02/1969
0,4.392857143,0, 9/02/1969
4.85625,4.392857143,0,10/02/1969
2.91375,4.392857143,0,11/02/1969
1.3875,4.392857143,0,12/02/1969
2.68875,4.392857143,0,13/02/1969
1.2325,4.392857143,0,14/02/1969
0.19,4.392857143,0,15/02/1969
0.3275,4.392857143,0,16/02/1969
0.15375,4.392857143,0,17/02/1969
0,4.392857143,0,18/02/1969
0,4.392857143,0,19/02/1969
0,4.392857143,0,20/02/1969
8.8375,4.392857143,0,21/02/1969
13.1775,4.392857143,0,22/02/1969
22.13125,4.392857143,0.019,23/02/1969
10.44375,4.392857143,0.038,24/02/1969
0,4.392857143,0.038,25/02/1969
0.625,4.392857143,0.038,26/02/1969
0.49375,4.392857143,0.038,27/02/1969
0.07125,4.392857143,0.019,28/02/1969
0,3.290322581,0.019, 1/03/1969
0,3.290322581,0.019, 2/03/1969
0,3.290322581,0, 3/03/1969
1.36875,3.290322581,0, 4/03/1969
0.82125,3.290322581,0, 5/03/1969
0,3.290322581,0, 6/03/1969
0,3.290322581,0, 7/03/1969
0,3.290322581,0, 8/03/1969
0,3.290322581,0, 9/03/1969
0.50625,3.290322581,0,10/03/1969
9.69125,3.290322581,0,11/03/1969
13.545,3.290322581,0,12/03/1969
4.7475,3.290322581,0,13/03/1969
8.06875,3.290322581,0,14/03/1969
4.84125,3.290322581,0,15/03/1969
0,3.290322581,0,16/03/1969
1.0875,3.290322581,0,17/03/1969
10.68375,3.290322581,0,18/03/1969
9.15625,3.290322581,0.019,19/03/1969
1.8825,3.290322581,0.019,20/03/1969
0,3.290322581,0.019,21/03/1969
0,3.290322581,0.038,22/03/1969
0,3.290322581,0.038,23/03/1969
4.30625,3.290322581,0.038,24/03/1969
2.58375,3.290322581,0.019,25/03/1969
0.11875,3.290322581,0.019,26/03/1969
0.07125,3.290322581,0.019,27/03/1969
0.25,3.290322581,0.019,28/03/1969
0.15,3.290322581,0.019,29/03/1969
8.03125,3.290322581,0.019,30/03/1969
4.9125,3.290322581,0.019,31/03/1969
0.05625,2.2,0.019, 1/04/1969
0.99375,2.2,0.019, 2/04/1969
0.59625,2.2,0.019, 3/04/1969
0.25625,2.2,0.019, 4/04/1969
0.15375,2.2,0.019, 5/04/1969
0,2.2,0.019, 6/04/1969
0,2.2,0.019, 7/04/1969
0,2.2,0, 8/04/1969
0,2.2,0, 9/04/1969
0.11875,2.2,0,10/04/1969
5.52125,2.2,0,11/04/1969
4.68875,2.2,0,12/04/1969
2.72,2.2,0,13/04/1969
1.4775,2.2,0,14/04/1969
2.77,2.2,0,15/04/1969
7.54625,2.2,0,16/04/1969
3.6075,2.2,0.019,17/04/1969
2.6125,2.2,0.019,18/04/1969
2.305,2.2,0.019,19/04/1969
10.7425,2.2,0.038,20/04/1969
6.43,2.2,0.077,21/04/1969
3.73125,2.2,0.058,22/04/1969
2.14875,2.2,0.096,23/04/1969
0,2.2,0.096,24/04/1969
0,2.2,0.077,25/04/1969
0,2.2,0.058,26/04/1969
0,2.2,0.038,27/04/1969
0.2375,2.2,0.038,28/04/1969
1.24875,2.2,0.038,29/04/1969
9.25125,2.2,0.019,30/04/1969
6.1275,1.258064516,0.058, 1/05/1969
0.935,1.258064516,0.038, 2/05/1969
0.21,1.258064516,0.058, 3/05/1969
0,1.258064516,0.096, 4/05/1969
1.71875,1.258064516,0.077, 5/05/1969
1.03125,1.258064516,0.058, 6/05/1969
0,1.258064516,0.038, 7/05/1969
0,1.258064516,0.038, 8/05/1969
0,1.258064516,0.038, 9/05/1969
0,1.258064516,0.038,10/05/1969
2.74375,1.258064516,0.019,11/05/1969
2.49,1.258064516,0.019,12/05/1969
2.11875,1.258064516,0.019,13/05/1969
1.33625,1.258064516,0.019,14/05/1969
4.57125,1.258064516,0.019,15/05/1969
19.71625,1.258064516,0.038,16/05/1969
10.88875,1.258064516,0.25,17/05/1969
1.9,1.258064516,0.654,18/05/1969
2.8525,1.258064516,0.346,19/05/1969
10.975,1.258064516,0.231,20/05/1969
7.25,1.258064516,0.25,21/05/1969
0.8175,1.258064516,0.731,22/05/1969
10.425,1.258064516,0.442,23/05/1969
6.255,1.258064516,0.385,24/05/1969
0.5125,1.258064516,1.038,25/05/1969
1.4825,1.258064516,0.519,26/05/1969
0.705,1.258064516,0.327,27/05/1969
0,1.258064516,0.231,28/05/1969
7.46875,1.258064516,0.154,29/05/1969
30.08125,1.258064516,0.231,30/05/1969
23.84125,1.258064516,13.827,31/05/1969
13.25125,1.033333333,12.75, 1/06/1969
4.8975,1.033333333,2.962, 2/06/1969
0,1.033333333,1.462, 3/06/1969
0,1.033333333,0.885, 4/06/1969
0,1.033333333,0.615, 5/06/1969
0,1.033333333,0.462, 6/06/1969
0,1.033333333,0.365, 7/06/1969
0,1.033333333,0.288, 8/06/1969
0,1.033333333,0.212, 9/06/1969
0,1.033333333,0.154,10/06/1969
0,1.033333333,0.115,11/06/1969
1.60625,1.033333333,0.096,12/06/1969
4.55125,1.033333333,0.096,13/06/1969
4.34625,1.033333333,0.115,14/06/1969
1.31625,1.033333333,0.288,15/06/1969
3.5625,1.033333333,0.442,16/06/1969
2.1375,1.033333333,0.346,17/06/1969
0,1.033333333,0.269,18/06/1969
0,1.033333333,0.212,19/06/1969
0.25,1.033333333,0.173,20/06/1969
0.15,1.033333333,0.135,21/06/1969
0.875,1.033333333,0.115,22/06/1969
4.1125,1.033333333,0.115,23/06/1969
2.1525,1.033333333,0.115,24/06/1969
8.4,1.033333333,0.231,25/06/1969
5.04,1.033333333,1.327,26/06/1969
0,1.033333333,1.596,27/06/1969
0,1.033333333,0.904,28/06/1969
0.61875,1.033333333,0.635,29/06/1969
0.62125,1.033333333,0.481,30/06/1969
1.6375,1.096774194,0.385, 1/07/1969
0.8925,1.096774194,0.327, 2/07/1969
1.64375,1.096774194,0.25, 3/07/1969
6.83,1.096774194,0.212, 4/07/1969
10.3125,1.096774194,0.788, 5/07/1969
4.1775,1.096774194,4, 6/07/1969
3.31875,1.096774194,2.115, 7/07/1969
1.9575,1.096774194,1.75, 8/07/1969
0,1.096774194,1.173, 9/07/1969
0,1.096774194,0.865,10/07/1969
0,1.096774194,0.673,11/07/1969
2.13125,1.096774194,0.558,12/07/1969
1.27875,1.096774194,0.538,13/07/1969
0,1.096774194,0.423,14/07/1969
0,1.096774194,0.327,15/07/1969
0,1.096774194,0.25,16/07/1969
0,1.096774194,0.212,17/07/1969
2.75,1.096774194,0.173,18/07/1969
3.7375,1.096774194,0.25,19/07/1969
3.52125,1.096774194,0.577,20/07/1969
16.87375,1.096774194,1.327,21/07/1969
15.145,1.096774194,9.654,22/07/1969
9.60875,1.096774194,6.769,23/07/1969
4.12625,1.096774194,8,24/07/1969
0.2775,1.096774194,4.038,25/07/1969
0,1.096774194,2.019,26/07/1969
0.50625,1.096774194,1.269,27/07/1969
0.30375,1.096774194,0.923,28/07/1969
2.825,1.096774194,0.692,29/07/1969
1.695,1.096774194,0.654,30/07/1969
0.625,1.096774194,0.558,31/07/1969
0.375,1.419354839,0.462, 1/08/1969
0,1.419354839,0.404, 2/08/1969
11.0375,1.419354839,0.596, 3/08/1969
6.87875,1.419354839,2.077, 4/08/1969
0.15375,1.419354839,1.558, 5/08/1969
0.25,1.419354839,0.981, 6/08/1969
4.6625,1.419354839,0.692, 7/08/1969
13.65125,1.419354839,0.769, 8/08/1969
7.535,1.419354839,7.577, 9/08/1969
0.58125,1.419354839,4.038,10/08/1969
0,1.419354839,1.885,11/08/1969
0,1.419354839,1.077,12/08/1969
12.90625,1.419354839,0.75,13/08/1969
8.36875,1.419354839,6.173,14/08/1969
1,1.419354839,3.712,15/08/1969
0.375,1.419354839,1.75,16/08/1969
0,1.419354839,1.173,17/08/1969
0,1.419354839,0.885,18/08/1969
1.26875,1.419354839,0.692,19/08/1969
0.76125,1.419354839,0.654,20/08/1969
0,1.419354839,0.538,21/08/1969
0,1.419354839,0.462,22/08/1969
0,1.419354839,0.385,23/08/1969
0,1.419354839,0.327,24/08/1969
0,1.419354839,0.288,25/08/1969
0,1.419354839,0.25,26/08/1969
3.4875,1.419354839,0.212,27/08/1969
3.71125,1.419354839,0.308,28/08/1969
4.34625,1.419354839,0.327,29/08/1969
2.39375,1.419354839,0.365,30/08/1969
0.8275,1.419354839,0.442,31/08/1969
0.36375,2.3,0.442, 1/09/1969
12.4125,2.3,0.981, 2/09/1969
7.6975,2.3,5.692, 3/09/1969
0.15,2.3,2.731, 4/09/1969
7.9,2.3,1.462, 5/09/1969
5.34,2.3,1.885, 6/09/1969
7.56625,2.3,3.25, 7/09/1969
4.32375,2.3,4.808, 8/09/1969
0,2.3,1.981, 9/09/1969
11.725,2.3,1.327,10/09/1969
23.91625,2.3,11.808,11/09/1969
11.9975,2.3,13.135,12/09/1969
5.5775,2.3,5.654,13/09/1969
8.6175,2.3,4.885,14/09/1969
4.90375,2.3,4.038,15/09/1969
1.65875,2.3,2.865,16/09/1969
1.90125,2.3,1.827,17/09/1969
2.0825,2.3,1.404,18/09/1969
2.01875,2.3,1.135,19/09/1969
3.205,2.3,0.981,20/09/1969
11.785,2.3,2.25,21/09/1969
10.02875,2.3,5.654,22/09/1969
11.90875,2.3,4.288,23/09/1969
9.4325,2.3,7.096,24/09/1969
2.70125,2.3,4.462,25/09/1969
0.3,2.3,2.673,26/09/1969
0,2.3,1.692,27/09/1969
0.25625,2.3,1.077,28/09/1969
0.65375,2.3,0.788,29/09/1969
0.3,2.3,0.654,30/09/1969
0,3.741935484,0.538, 1/10/1969
0,3.741935484,0.442, 2/10/1969
4.5,3.741935484,0.327, 3/10/1969
4.2,3.741935484,0.404, 4/10/1969
0.9,3.741935484,0.423, 5/10/1969
0,3.741935484,0.288, 6/10/1969
0.11875,3.741935484,0.231, 7/10/1969
0.3275,3.741935484,0.173, 8/10/1969
0.15375,3.741935484,0.154, 9/10/1969
4.35,3.741935484,0.154,10/10/1969
2.61,3.741935484,0.192,11/10/1969
0,3.741935484,0.212,12/10/1969
0.11875,3.741935484,0.173,13/10/1969
0.8275,3.741935484,0.115,14/10/1969
0.71,3.741935484,0.096,15/10/1969
0.41,3.741935484,0.096,16/10/1969
0.27875,3.741935484,0.096,17/10/1969
0.075,3.741935484,0.096,18/10/1969
0,3.741935484,0.077,19/10/1969
0,3.741935484,0.077,20/10/1969
0,3.741935484,0.058,21/10/1969
0,3.741935484,0.058,22/10/1969
0,3.741935484,0.058,23/10/1969
0,3.741935484,0.038,24/10/1969
0.75625,3.741935484,0.038,25/10/1969
0.46,3.741935484,0.038,26/10/1969
0.75375,3.741935484,0.038,27/10/1969
6.7,3.741935484,0.038,28/10/1969
16.05625,3.741935484,0.115,29/10/1969
8.14,3.741935484,0.558,30/10/1969
1.45375,3.741935484,0.25,31/10/1969
1.5625,4.733333333,0.154, 1/11/1969
0.67125,4.733333333,0.115, 2/11/1969
0.05625,4.733333333,0.096, 3/11/1969
3.85,4.733333333,0.077, 4/11/1969
8.61,4.733333333,0.077, 5/11/1969
4.91125,4.733333333,0.115, 6/11/1969
0.92875,4.733333333,0.173, 7/11/1969
0.76875,4.733333333,0.115, 8/11/1969
0.47125,4.733333333,0.096, 9/11/1969
0.31,4.733333333,0.058,10/11/1969
0.15,4.733333333,0.058,11/11/1969
0,4.733333333,0.038,12/11/1969
2.26875,4.733333333,0.038,13/11/1969
5.33625,4.733333333,0.038,14/11/1969
3.12875,4.733333333,0.058,15/11/1969
0.5275,4.733333333,0.038,16/11/1969
3.3175,4.733333333,0.038,17/11/1969
10.055,4.733333333,0.038,18/11/1969
15.575,4.733333333,0.308,19/11/1969
8.2375,4.733333333,0.788,20/11/1969
1.08375,4.733333333,0.404,21/11/1969
0,4.733333333,0.173,22/11/1969
0,4.733333333,0.096,23/11/1969
0,4.733333333,0.058,24/11/1969
0,4.733333333,0.038,25/11/1969
5.88125,4.733333333,0.038,26/11/1969
9.96625,4.733333333,0.038,27/11/1969
4.4625,4.733333333,0.038,28/11/1969
0.86625,4.733333333,0.077,29/11/1969
1.7975,4.733333333,0.077,30/11/1969
14.85875,4.580645161,0.077, 1/12/1969
11.99625,4.580645161,0.25, 2/12/1969
